rank,priority,rationale,incident_id,lineage_id,published_at,title,source_url,model,exact_file,optimization,runtime_hardware,primary_pattern,evidence_class,mechanism_status,resolution_status,observed_failure,baseline_or_control,mechanism,discriminating_test,missing_information
1,P0,Double-applied activation scales are confirmed; one runtime toggle cleanly tests the mechanism.,github-issue-d8c1a3f0b31f86,lineage-3c41b154fb4076,2026-04-09,[Bug]: Gemma 4 31B FP8_BLOCK checkpoint produces garbage repetitive output — logit saturation at softcap wall due to absorbed activation scales being double-applied,https://github.com/vllm-project/vllm/issues/39407,Gemma 4 31B (google/gemma-4-31b-it),vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_fp8.py,FP8_BLOCK checkpoint produced by llm-compressor; W8A8 block FP8 with static weight scales and absorbed activation scales,vLLM 0.1.dev13+g6155bbd1d; Python 3.13; CUDA 12.8; 4× NVIDIA GeForce RTX 5060 Ti 16GB (SM 12.0 / Blackwell); tensor parallel size 4; TRITON_ATTN; bfloat16; eager execution,stateful_precision_failure,demonstrated,confirmed,unresolved,"The checkpoint loads and tokenizes, but prompts produce indefinite repetitions such as "" a a a a""; traced hidden-state norms inflate and the winning logit becomes pinned at 23.625.","The reporter says the Triton FP8 GEMM produced correct numerical output, and a llama.cpp Q5_K_M GGUF checkpoint produced coherent output at 20.6 tok/s.","The report's instrumentation identifies absorbed activation scales being applied again by dynamic per-token activation quantization, inflating hidden states until logits saturate. It separately reports that the SM 12.0 Triton fallback is numerically correct.",Run the same FP8_BLOCK checkpoint and prompts with dynamic per-token activation quantization enabled versus skipped; recovery only when skipped isolates runtime scale handling from checkpoint damage.,maintainer confirmation | tested patch result | resolution
2,P0,Captured-call dtype ablations isolate a NaN-producing routing tie at a sharp context threshold.,github-issue-68a029ec925f63,lineage-dab1e219cd26fd,2026-07-13,[Bug] GLM-5.2-NVFP4 + flashinfer_trtllm: long-context outputs collapse to '!!!!' (NaN logits) — fp32 correction_bias regression from #29783,https://github.com/sgl-project/sglang/issues/30989,nvidia/GLM-5.2-NVFP4,python/sglang/srt/models/deepseek_v2.py,ModelOpt FP4 with flashinfer_trtllm MoE runner; FP8 KV cache,"SGLang v0.5.15 or a build containing d8462f49619; 4× NVIDIA B300 / SM103, TP=4; standalone failing-kernel replay on 1 GPU",kernel_correctness,demonstrated,confirmed,unknown,"Beyond roughly 6.5k tokens for triggering content, output becomes repeated '!' characters; requested token logprobs are null because logits become all-NaN. Short requests are reported as healthy.","FP8 checkpoints of the same model are unaffected. Captured-call ablations report fp32 routing bias produces NaNs, while casting the same values to bf16, adding 10 to logits, or de-duplicating the bias produces clean output. A pre-regression build was healthy, and half-revert bisection identified d8462f49619.","Removal of the bf16 correction-bias branch leaves an fp32 routing bias on the FP4 path. For very negative router logits, sigmoid contributions vanish at the fp32 bias scale; duplicated bias values then create exact ties across the top-8 boundary, and flashinfer routingCustom emits NaN expert weights that propagate to all logits. Standalone replay also shows the kernel's underlying defect is NaN-producing tie handling, not dtype alone.","Replay the captured routing call with identical logits and weights, changing only routing_bias from fp32 to bf16; NaN only with fp32 localizes the failure to runtime routing rather than FP4 expert-weight damage.",Whether closure corresponds to a merged fix | Fix commit or released version | resolution
3,P0,"Same image, weights, and probes are clean under flashinfer_cutlass; strongest backend A/B.",github-issue-89a0fd45465817,lineage-3ae7e77d5eaf27,2026-05-25,[Bug] flashinfer_trtllm MoE runner corrupts MiniMax-M2.7-NVFP4 output and asserts on DeepSeek-V4-Flash on B200,https://github.com/sgl-project/sglang/issues/26324,nvidia/MiniMax-M2.7-NVFP4; deepseek-ai/DeepSeek-V4-Flash,sglang flashinfer_trtllm.py:686,NVFP4/FP8 MoE inference through --moe-runner-backend flashinfer_trtllm,SGLang v0.5.12 and v0.5.12.post1; FlashInfer 0.6.11.post1; PyTorch 2.11.0+cu130; Triton 3.6.0; ModelOpt 0.44.0; Transformers 5.6.0; 8× NVIDIA B200 SXM (SM100),kernel_correctness,demonstrated,confirmed,unresolved,MiniMax-M2.7 returns deterministic replacement-character-heavy text despite HTTP 200 at temperature 0; DeepSeek-V4-Flash raises AssertionError at flashinfer_trtllm.py:686 on the first forward pass.,"For MiniMax-M2.7, flashinfer_cutlass on the same hardware, image, weights, and probes produces clean expected output, including 2+2 → 4 and 0% non-ASCII across four probes.","The MiniMax corruption is localized by the controlled backend switch to the flashinfer_trtllm MoE runner path; the DeepSeek stack reaches its FP8 fused-experts path, but the report explicitly does not establish a shared root cause.",Run identical checkpoints and deterministic probes with flashinfer_trtllm and flashinfer_cutlass; clean output only on flashinfer_cutlass separates runtime runner corruption from checkpoint damage.,Whether FlashInfer 0.6.12 or later changes the DeepSeek result | Specific fused function reached for MiniMax-M2.7 | Whether the two failure modes share a root cause | Maintainer diagnosis or fix | resolution
4,P0,"Backend-op tests already quantify 28 failing shapes while CUDA, Vulkan, and CPU pass.",github-issue-d2466d6b6efd80,lineage-81ed47946cf937,2026-07-08,SYCL: MUL_MAT_ID prefill path produces wrong results on Intel Arc Pro B70 (Battlemage G31) — causes garbage output on MoE models,https://github.com/ggml-org/llama.cpp/issues/25455,Qwen3.6-35B-A3B,,"SYCL `MUL_MAT_ID` for MoE prefill/batched execution across bf16, f16, f32, IQ, Q, and MXFP4 weight types","llama.cpp SYCL backend on Intel Arc Pro B70 (Battlemage G31), Level Zero 1.14.36605, oneAPI 2026.1.0, Windows 11; Vulkan, CUDA, and CPU controls",kernel_correctness,demonstrated,source_hypothesis,unresolved,"`test-backend-ops test -b SYCL0 -o MUL_MAT_ID` fails 28 of 792 cases for `ne12 > 1`, with errors of 0.3–1.9 against a 0.0005 tolerance; Qwen3.6-35B-A3B emits garbage or gibberish on SYCL.","The same model on Vulkan on the same GPU produces coherent output at similar speed. CUDA, Vulkan, and CPU pass the `MUL_MAT_ID` tests; the SYCL decode path with `ne12 == 1` is unaffected. Disabling listed SYCL options and reverting the counting-sort branch do not remove the failure.","The report localizes the defect below the reverted counting-sort code, possibly in the shared SYCL matrix-multiplication path when given row-gathered or contiguous `mul_mat_id` tensor shapes.",Run the same `MUL_MAT_ID` prefill cases and model prompt on SYCL0 and Vulkan or CPU; backend-only divergence with identical weights separates runtime corruption from representation damage.,exact Qwen3.6 GGUF file and quantization | whether the failure occurs on other SYCL GPUs or drivers | confirmed faulty lower-level kernel or operation | exact model file | resolution
5,P0,"Corruption exists only for CUDA parallel counts 3-8, giving a narrow shape/batch boundary.",github-issue-7702d1f4ebbf2b,lineage-c35882dfb808ec,2024-06-12,Bug: flash attention produces corrupt output with batched generation,https://github.com/ggml-org/llama.cpp/issues/7903,Meta-Llama-3-8B-Instruct; Mistral 7B; Qwen2 0.5B,Meta-Llama-3-8B-Instruct-Q4_K_M.gguf,Q4_K_M GGUF with flash attention and batched parallel generation,"llama.cpp build 3138 (commit 704a35b1) on Linux; tested on CPU, CUDA with GTX 1080, and ROCm with MI60",kernel_correctness,demonstrated,confirmed,unknown,"Parallel sequences produce corrupt output with flash attention for -np values 3–8 on CUDA/GTX 1080; -np 1–2 and 9–25 do not, and the tested CPU and ROCm/MI60 backends do not.","CPU and ROCm with MI60 show no corruption; CUDA with GTX 1080 does. Parallel counts 1–2 and 9–25 show no corruption, while 3–8 do. Llama 3 8B, Mistral 7B, and Qwen2 0.5B show similar behavior.","Controlled backend and parallel-count results localize the corruption to the tested flash-attention CUDA path on GTX 1080 for batch parallelism 3–8, without identifying the lower-level kernel defect.","Run the exact GGUF, prompts, and -np 3 on the GTX 1080 with flash attention on and off; corruption only with it enabled isolates runtime/kernel corruption rather than representation damage.",No fix or maintainer-confirmed lower-level kernel cause is supplied. | Exact filenames for the Mistral 7B and Qwen2 0.5B tests are absent. | No result with flash attention disabled is explicitly reported in the supplied text. | resolution
6,P0,"Depths 3, 4, 6, and 7 are clean over thousands of trials; depth 5 is a near-single-variable intervention.",github-issue-1de0247c5f5553,lineage-f06489c905fdd8,2026-08-06,"[Bug] DSpark draft depth 5 (the checkpoint default) corrupts output on SM120 — depths 3, 4, 6, 7 are clean",https://github.com/sgl-project/sglang/issues/33800,deepseek-ai/DeepSeek-V4-Flash-0731,deepseek_v4_dspark.py,DSpark speculative decoding; FP8 E4M3 KV cache; FlashInfer MXFP4 MoE runner,"SGLang v0.5.16 with listed backports and upstream main at 211ee642; FlashInfer 0.6.15.post1; 4× NVIDIA RTX PRO 6000 Blackwell Max-Q 96 GB, GB202/sm_120, PCIe Gen5, no NVLink; driver 595.71.05; CUDA 13; TP=4, DP attention, EP=4",kernel_correctness,demonstrated,source_hypothesis,unresolved,"Some requests completed normally at the protocol level but generated repetition loops, token salad, or leaked </think> text; depth 5 produced 10/2,148 corruption events when inferred and 7/2,138 when explicit, whereas the tested alternative depths produced zero events.","Identical-protocol depth sweep: depth 3 had 0/10,885 events, depth 4 had 0/11,040, depth 6 had 0/2,282, and depth 7 had 0/2,198. The reporter also states speculative-off output is clean while speculative-on depth-5 output is garbage for identical temperature-0 prompts.","The reporter suspects an asymmetry related to the checkpoint-native DSpark block size or verify_num_draft_tokens=6, but explicitly states that this mechanism is unconfirmed.","At temperature 0, send identical prompts with speculative decoding off and with DSpark on at depths 4, 5, and 6; diff outputs and repeat across cold launches under the stated burst pattern.",Confirmed root cause | Candidate patch result | resolution
7,P0,The failure appears only after the sliding-window boundary and has clean query-precision/speculation controls.,github-issue-13e11d1ade1b1e,lineage-a128d0efdb1507,2026-07-07,[Bug]: disable_flashinfer_q_quantization + fp8 KV + spec decode silently corrupts sliding-window models on SM100 (trtllm-gen); BF16-Q paths also mis-apply q/k/v scales,https://github.com/vllm-project/vllm/issues/47847,RedHatAI/gemma-4-31B-it-NVFP4,vllm/v1/attention/backends/flashinfer.py,NVFP4 model; FP8 E4M3 KV cache; BF16 query via disable_flashinfer_q_quantization; MTP speculative decoding,vLLM nightly 0.23.1rc1.dev843+g04adc8843; flashinfer-python 0.6.14 with flashinfer-cubin 0.6.13; torch 2.11.0+cu130; CUDA 13; 1× NVIDIA B200 (SM100); FlashInfer attention backend,kernel_correctness,demonstrated,source_hypothesis,unresolved,"After sequence length passes the 1024-token sliding window, deterministic generations show sporadic wrong tokens and short repetition loops; deeper speculation produces runaway repetition. The reporter also identifies double or unnecessary application of q/k/v scales for calibrated checkpoints.","The same prompts are clean with FP8 query and speculation on, with BF16 query and speculation off, and in no-window or q_len≤4 kernel controls; corruption occurs in both CUDA-graph and eager modes.","The reporter attributes the main corruption to FlashInfer's trtllm-gen spec-as-decode kernel miscomputing BF16-Q/FP8-KV sliding-window attention at certain sequence-length/page alignments. Independently, vLLM is reported to apply q_scale when Q remains BF16 and to reapply k/v scales after KV dequantization.","Run the same temperature-0 prompt beyond 1024 tokens with the affected configuration, then separately remove disable_flashinfer_q_quantization and remove speculative decoding; clean controls versus corruption isolate the BF16-Q/FP8-KV/speculative sliding-window path.",maintainer confirmation | implemented fix
8,P1,The same checkpoint and byte-identical prompts are clean in vLLM but fail in SGLang at temperature zero.,github-issue-3453000d7d3d4d,lineage-c5c43fbf3477bc,2026-07-19,[Bug] Qwen3.6-27B (hybrid GDN) + AWQ degenerates on few-shot / multi-turn prompts at temperature 0; same checkpoint is clean on vLLM,https://github.com/sgl-project/sglang/issues/31720,QuantTrio/Qwen3.6-27B-AWQ,sglang/jit_kernel/triton/gdn_fused_proj,AWQ with awq_marlin on a hybrid GDN model,"sglang 0.5.14; torch 2.11.0+cu130; flashinfer 0.6.12; driver 595.71.05; CUDA 13.3; single RTX 5090 32 GB, sm_120",stateful_precision_failure,demonstrated,source_hypothesis,unresolved,"At temperature 0, outputs contain repetition loops, mixed scripts, percent-encoded fragments, and spurious </think> tags; eight of nine six-shot multiple-choice probes ran to the 512-token cap, with mean completion length 435 tokens instead of a one-letter answer.",The same checkpoint and prompts on vLLM 0.21 answered correctly in 1-2 tokens. Byte-identical chat rendering still failed through /v1/completions; bfloat16 versus all-float16 and disabling radix cache did not change the failure; a non-GDN AWQ model served multi-turn prompts cleanly on the same install.,"The report suspects the qwen3_5 GDN implementation, including the fused GDN projection path, or its interaction with awq_marlin activations; the ablations do not confirm either cause.","Run the same artifact and exact prompts at temperature 0 in SGLang 0.5.14 and vLLM 0.21, using the same byte-identical rendered prompt.",No confirmed defective operator is identified. | The probe script is described as available but is not included in the supplied text. | Tensor-parallel variants were not tested. | resolution
9,P1,Two quant schemes share a 2-3K-token cliff while a matched non-DSA model handles about 40K.,github-issue-b03c26389b4b78,lineage-adb885da3d069c,2026-07-02,glm_moe_dsa: output degenerates to gibberish above ~2-3K prompt tokens (DSA indexer suspected),https://github.com/ml-explore/mlx-lm/issues/1453,GLM-5.2-mxfp4; GLM-5.2 DQ4plus-q8,config.json,Uniform 4-bit OCP microscaling with group_size 32; mixed 4/8-bit affine DQ4plus-q8,mlx-lm through EXO; Apple Silicon M3 Ultra 512GB; Metal; single-node and two-node tensor-sharded serving,kernel_correctness,demonstrated,source_hypothesis,unresolved,"At 3,422 and 7,381 prompt tokens, the mxfp4 model emits digit/punctuation soup and ends by max-token length; the DQ4plus-q8 model is correct at 2,449 tokens, degenerates at 3,684, begins coherently then collapses at 4,919, and emits full noise at 15,179.",Both different quantization schemes show the same threshold; both single-node and two-node placements reproduce it; a same-lineage and same-parameter-class MoE+MLA model without the DSA indexer handles about 40K-token prompts cleanly on the same serving stack and node count.,"The reporter localizes the cliff to the DSA sparse-attention indexer and proposes top-k selection, interleaved versus non-interleaved RoPE layout, or kv_b_proj decomposition as candidates; none is confirmed.","Run the same quantized checkpoint and token-count sweep with vanilla mlx_lm and with the DSA indexer disabled or replaced by dense attention, keeping prompts and sampling fixed.",Reproduction with vanilla mlx_lm.generate or mlx_lm.server | Exact breaking-token bisection | Maintainer-confirmed cause | Whether the RoPE layout fix from the referenced DeepSeek implementation is present | resolution
10,P1,q8_0 KV is clean while turbo3 is corrupt; the exact same GGUF can be tested on a second backend.,github-issue-293e12fcd8d9e8,lineage-3c380155932ac7,2026-05-08,"Vulkan: turbo3 KV produces garbage output, turbo4/SET_ROWS crashes, MTP crashes on AMD RDNA 3.5 (TurboQuant fork)",https://github.com/ggml-org/llama.cpp/issues/22842,Gemma-4-26B-A4B-It,gemma-4-26b-a4b-it-UD-Q4_K_XL.gguf; gemma-4-26B-A4B-it-assistant-Q4_K_M.gguf,Unsloth Dynamic Q4_K_XL weights; turbo3/turbo4 compressed KV cache; Q4_K_M MTP assistant,"TurboQuant fork feature/turboquant-kv-cache commit 2e81dc5, llama-server Vulkan on Windows 11, AMD Radeon 8060S RDNA 3.5 (gfx1151), tested with GGML_VULKAN_USE_COOPMAT2 on and off",kernel_correctness,demonstrated,confirmed,unresolved,"turbo3 emits incoherent mixed-script text on both builds; turbo4 fails at startup because a Vulkan buffer cannot run SET_ROWS; with q8_0 KV, the MTP assistant initializes but the process exits on the first request without an error message.",The same main model with q8_0 K/V cache produces valid output at 50.2 t/s decode and 223 t/s prompt; turbo3 reports about 559 MiB total KV versus about 1520 MiB with q8_0. Regular inference measured 49.8 t/s without coopmat2 and about 49 t/s with it.,"For turbo4, the source states Vulkan SET_ROWS is required but not implemented/functioning. The proposed SWA shader/attention cause for turbo3 and Vulkan graph cause for MTP are reporter hypotheses only.",Run the exact GGUF with turbo3/turbo4 KV and MTP on a second backend; backend-specific failure would distinguish Vulkan execution from model-file damage.,maintainer-confirmed cause for turbo3 | crash trace for MTP | cross-backend result using the same turbo KV representations | fix | resolution
